pair,coint_pvalue,beta,sharpe,max_drawdown,annual_turnover,total_return,n_days_test
XOM/CVX,0.3854395031574669,0.771490475234595,-0.5093724132795528,-0.18509603213790193,7.940298507462687,-0.1133470664722408,603
KO/PEP,0.057317459642050074,0.2754347199345902,-1.0327669635619112,-0.3216777902624762,7.104477611940299,-0.2760223530580749,603
JPM/BAC,0.9892447854887216,3.2551544425327092,-0.3353933836663103,-0.5216995772667505,9.194029850746269,-0.33932317306104076,603
HD/LOW,0.11862308057111848,1.1788774211369077,-0.3110592104827206,-0.22549668758810237,10.865671641791044,-0.07743182757113554,603
